rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541C,track_layout,369,19,1,3,0,1,1,1,0,0,36,0,0,18,646
1541C,track_layout,374,19,1,4,0,1,1,2,1,1,36,0,0,18,646
1541C,track_layout,379,19,1,5,0,1,1,2,0,0,36,0,0,18,646
1541C,track_layout,385,19,1,6,0,2,2,3,0,0,36,0,0,18,646
1541C,track_layout,390,19,1,7,0,2,2,3,0,0,36,0,0,18,646
1541C,track_layout,396,19,2,0,1,0,0,1,0,0,37,0,0,18,646
1541C,track_layout,401,19,2,1,1,0,0,1,0,0,38,0,0,18,646
1541C,track_layout,406,19,2,2,0,1,1,1,0,0,38,0,0,18,646
1541C,track_layout,412,19,2,3,0,1,1,1,0,0,38,0,0,19,645
1541C,track_layout,417,19,2,4,0,1,1,2,1,1,38,0,0,19,645
1541C,track_layout,422,19,2,5,0,1,1,2,0,0,38,0,0,19,645
1541C,track_layout,428,19,2,6,0,2,2,3,0,0,38,0,0,19,645
1541C,track_layout,433,19,2,7,0,2,2,3,0,0,38,0,0,19,645
1541C,track_layout,439,19,3,0,1,0,0,1,0,0,39,0,0,19,645
